	id	version	episode_n	trajectory_n	trajectory_len	q_param	total_elapsed	finished	len_ed	mean25_ed	mean50_ed	std_ed	layers_cnt	layers_n1	layers_n2	layers_n3
0	2287189634114	1	200	150	500	0.7	14804.552606	True	200	222.53107984066537	188.7016148100576	44.634189590139925	1	100		
1	2287198420634	1	200	150	500	0.8	15014.121405	True	200	143.14487284563018	142.4606777208457	21.489820884751254	1	100		
2	2287208017163	1	200	150	500	0.9	9011.934088	True	200	216.1456103677353	215.70719101911732	20.699036458595767	1	100		
3	2287223764251	1	200	150	1000	0.7	26793.03919	True	200	144.6861110328685	147.14163348679807	11.66839252582919	1	100		
4	2287236024882	1	200	150	1000	0.8	29568.566618	True	200	95.52638703385058	89.58467237277684	20.789521677131443	1	100		
5	2287244988261	1	200	150	1000	0.9	15645.800515	True	200	137.38836129246639	128.0681216161899	23.544358867235523	1	100		
6	2287465267159	1	200	150	500	0.7	9801.152788	True	200	248.9343208116813	243.6960972818277	26.858776300032957	1	150		
7	2287475451152	1	200	150	500	0.8	14560.634722	True	200	136.00650117676693	135.57019257377303	18.03913276562621	1	150		
8	2287488265106	1	200	150	500	0.9	13398.120906	True	200	135.64412808294438	138.47802511769146	16.683857058311624	1	150		
9	2287501931245	1	200	150	1000	0.7	33203.566024	True	200	163.67444017280795	159.00385981567763	11.803953105446334	1	150		
10	2287512694840	1	200	150	1000	0.8	16204.668182	True	200	154.09694821975853	149.6474008096579	13.642971256560267	1	150		
11	2287523963825	1	200	150	1000	0.9	9617.723518	True	200	219.30351938834644	213.32678561798963	32.33575059336734	1	150		
12	2287779104328	1	200	150	500	0.7	13685.463738	True	200	162.97355105104737	155.21512092183266	15.129526252741432	1	200		
13	2287789736369	1	200	150	500	0.8	6739.560764	True	200	259.56782731226684	236.85002892490567	37.45277276894814	1	200		
14	2287800760379	1	200	150	500	0.9	15956.887665	True	200	77.293288101517	97.99975597588801	30.509683908601385	1	200		
15	2287810209359	1	200	150	1000	0.7	24054.27773	True	200	150.70074994207903	142.55489100229477	20.18859200773848	1	200		
16	2290186107434	1	200	300	1000	0.7	28755.20119	True	200	171.0178087887824	184.68196976705477	18.20685661785854	1	150		
17	2290206223614	1	200	300	1000	0.8	35098.301292	False	158	158.89811676928616	162.885188080341	10.733953139379972	1	150		
18	2290225173766	1	200	300	1000	0.9	32506.878859	False	161	166.1597843269597	161.37138464273193	13.736106933067475	1	150		
19	2290248243116	1	200	10	500	0.5	646.909317	True	200	68.5107523003438	62.82379953525066	16.449556997962887	1	200		
20	2290328468478	1	200	10	1000	0.5	416.152848	True	200	82.00106669852421	62.59755263418296	37.01859353877518	1	200		
21	2290410650317	1	200	50	500	0.5	3826.289291	True	200	198.9424781099633	194.41871332161074	28.873293970086376	1	200		
22	2290491284386	1	200	50	1000	0.5	5289.764639	True	200	117.23732708326575	108.45923748233218	27.20130577963842	1	200		
23	2290571329061	1	200	150	500	0.5	876.158035	False	24	-74.3476891116611	-74.3476891116611	59.818650285187694	1	200		
24	2290647408028	1	200	150	1000	0.5	28010.155955	True	200	123.31802306559459	132.80535285969924	21.531408418416508	1	200		
25	2290729677710	1	200	300	500	0.5	3331.27041	False	35	-11.624541582638848	-43.89708557730452	69.15700021507664	1	200		
26	6399962801	1	200	10	500	0.8	712.129582	True	200	6.180920867152684	27.742852870906173	43.8823334405325	1	100		
27	6400331685	1	200	10	500	0.9	119.552016	True	200	-134.62804655748909	-134.54704737458806	28.799653784023445	1	100		
28	6400680881	1	200	10	1000	0.7	789.406557	True	200	-60.930732502323764	-21.00837501768292	56.155033059816084	1	100		
29	6401037224	1	200	10	1000	0.8	523.16521	True	200	5.990585346293128	-18.379764539293095	46.78117122668558	1	100		
30	6401910678	1	200	10	1000	0.9	252.31704	True	200	-8.12919077499273	-43.834287984026986	44.53880215092451	1	100		
31	6402171926	1	200	50	500	0.7	3675.003798	True	200	195.86461933830708	163.8666228204246	40.2177686011078	1	100		
32	6402388579	1	200	50	500	0.8	4446.094448	True	200	82.44649430527846	82.6303293763542	19.279459573062777	1	100		
33	6402805501	1	200	50	500	0.9	2873.416922	True	200	19.361122926351435	37.84176578030017	27.12355184845461	1	100		
34	6409558227	1	200	50	1000	0.7	4354.100082	True	200	125.48603399478317	115.49592777823057	22.023831065422463	1	150		
35	6409899577	1	200	50	1000	0.8	7603.077528	True	200	52.49268447786748	50.46955164600075	34.99703756506052	1	150		
36	6410247407	1	200	50	1000	0.9	3353.688905	True	200	84.34254477307502	70.28320020125915	40.52298481519054	1	150		
37	6410622380	1	200	70	500	0.7	6410.487305	True	200	131.22545967411892	128.80614826685033	12.636361280571927	1	150		
38	6411267961	1	200	70	500	0.8	6435.72677	True	200	119.14274441001184	106.86202791713323	24.802813723155545	1	150		
39	6411827287	1	200	70	500	0.9	4829.325813	True	200	82.38715225233076	73.08344512399098	37.83849966828201	1	150		
40	6412267369	1	200	70	1000	0.7	4839.932662	True	200	217.66823414652174	223.57879273010658	28.21243337038479	1	150		
41	6412649826	1	200	70	1000	0.8	10585.117881	True	200	91.93843576327357	110.23643536701256	37.21060557708714	1	150		
42	6413076631	1	200	70	1000	0.9	85.623944	False	8	-283.1865580958763	-283.1865580958763	57.521891492188544	1	150		
43	2287819483353	1	200	150	1000	0.8	9515.077714	True	200	237.90717707922252	240.10934907505816	43.234922179528	1	200		
44	2290748504803	1	200	300	500	0.7	11197.60418	True	200	253.27827180174873	255.9325904490687	15.792391499134434	1	200		
