	id	version	lr	episode_n	trajectory_n	trajectory_len	q_param	total_elapsed	finished	len_ed	maxed	min70	meaned	mean200_ed	mean25_ed	mean50_ed	std_ed	layers_cnt	layers_n1	layers_n2	layers_n3
0	65771456929	11	0.15	200	50	1000	0.5	3623.656214	True	200	13.627231614856361	-39.598018852477296	-30.9279938229485	-30.9279938229485	-32.15648537880704	-32.45096724650962	4.00829831299841	1	50		
1	65772251499	11	0.2	200	50	1000	0.5	3563.412664	True	200	-3.507811552388782	-39.52788500144124	-32.875246527775616	-32.875246527775616	-32.128155109278715	-32.92475984276029	3.691733037991376	1	50		
2	65773318406	11	0.3	200	50	1000	0.5	3677.951497	True	200	-2.5370639858624715	-39.528287609338456	-32.4586788948584	-32.4586788948584	-30.920268556113573	-32.05212734188957	4.340452184479627	1	50		
3	65774252849	11	0.4	200	50	1000	0.5	3587.621751	True	200	21.987288485037787	-39.61180285827146	-29.077089460335742	-29.077089460335742	-31.8641928323766	-32.65823089952953	3.85701479088555	1	50		
4	65775238157	11	0.1	200	50	1000	0.5	3624.185472	True	200	-6.28797156205219	-39.447066047001236	-31.177327343733694	-31.177327343733694	-31.32518377030931	-31.323146573737993	4.334250687904436	1	50		
5	65776255695	11	0.01	200	50	1000	0.5	3640.410423	True	200	-3.531501375758872	-38.529424323503726	-28.652735110777208	-28.652735110777208	-28.947792900141025	-28.11866714627755	4.794659440421512	1	50		
6	65777615538	11	0.001	200	50	1000	0.5	3485.23034	True	200	-11.035762312587497	-39.5266013103881	-31.065862811328344	-31.065862811328344	-31.248712165756256	-30.622456107984455	3.8961404608816066	1	50		
7	65779145087	11	0.005	200	50	1000	0.5	3619.387898	True	200	1.1501086812057273	-39.716332415933955	-31.535429492297236	-31.535429492297236	-30.279626779714775	-30.856884325998568	4.518366256909497	1	50		
8	65780578155	11	0.15	200	50	1000	0.6	3595.421299	True	200	-2.8273444066568594	-39.8288639774683	-32.777798843957555	-32.777798843957555	-32.136736942417116	-32.54701643764311	3.9159617030649927	1	50		
9	65783725084	11	0.2	200	50	1000	0.6	3504.35288	True	200	22.315950356615218	-39.72188890449613	-28.88292733252601	-28.88292733252601	-30.72244083117261	-31.305504634731584	4.946421759726402	1	50		
10	65785992767	11	0.3	200	50	1000	0.6	3580.36425	True	200	10.458025212840507	-39.29455946258637	-31.655156713176506	-31.655156713176506	-31.516821509961066	-31.913914916463572	3.891423363222381	1	50		
11	65788026523	11	0.4	200	50	1000	0.6	3581.493491	True	200	27.978514574560663	-39.94572328224048	-30.178460989729036	-30.178460989729036	-33.18734184040042	-32.66950877195091	4.211700332730556	1	50		
12	65791966319	11	0.1	200	50	1000	0.6	3611.000477	True	200	30.242039601367427	-37.56959310178696	-30.673578380894696	-30.673578380894696	-30.940111614399402	-30.548726671699832	3.730280610561658	1	50		
13	65795149451	11	0.01	200	50	1000	0.6	3406.688378	True	200	-12.01101531927529	-37.15700798744339	-29.221341376260643	-29.221341376260643	-30.880983817138777	-30.064727023411116	5.256929074430335	1	50		
14	65797576931	11	0.001	200	50	1000	0.6	3522.35364	True	200	5.891534655999643	-39.62385995998929	-32.59377673601363	-32.59377673601363	-32.880072264664456	-32.638671718610865	3.7106699497078828	1	50		
