	id	version	lr	episode_n	trajectory_n	trajectory_len	q_param	total_elapsed	finished	len_ed	maxed	meaned	mean200_ed	mean25_ed	mean50_ed	std_ed	layers_cnt	layers_n1	layers_n2	layers_n3
0	2287189634114	1	0.01	200	150	500	0.7	14804.552606	True	200	258.1531726373605	100.18171479163162	100.18171479163162	222.53107984066537	188.7016148100576	44.634189590139925	1	100		
1	2287198420634	1	0.01	200	150	500	0.8	15014.121405	True	200	174.84505747302313	81.28211473344248	81.28211473344248	143.14487284563018	142.4606777208457	21.489820884751254	1	100		
2	2287208017163	1	0.01	200	150	500	0.9	9011.934088	True	200	256.2988229116333	75.39018215326513	75.39018215326513	216.1456103677353	215.70719101911732	20.699036458595767	1	100		
3	2287223764251	1	0.01	200	150	1000	0.7	26793.03919	True	200	173.42600337245602	76.48691624873229	76.48691624873229	144.6861110328685	147.14163348679807	11.66839252582919	1	100		
4	2287236024882	1	0.01	200	150	1000	0.8	29568.566618	True	200	120.86708870149407	47.082518020726226	47.082518020726226	95.52638703385058	89.58467237277684	20.789521677131443	1	100		
5	2287244988261	1	0.01	200	150	1000	0.9	15645.800515	True	200	163.7669777655502	46.588169059644855	46.588169059644855	137.38836129246639	128.0681216161899	23.544358867235523	1	100		
6	2287465267159	1	0.01	200	150	500	0.7	9801.152788	True	200	275.2560482653275	126.47988892644162	126.47988892644162	248.9343208116813	243.6960972818277	26.858776300032957	1	150		
7	2287475451152	1	0.01	200	150	500	0.8	14560.634722	True	200	164.3095396062033	77.8201884664798	77.8201884664798	136.00650117676693	135.57019257377303	18.03913276562621	1	150		
8	2287488265106	1	0.01	200	150	500	0.9	13398.120906	True	200	175.01970805474105	75.41043510978562	75.41043510978562	135.64412808294438	138.47802511769146	16.683857058311624	1	150		
9	2287501931245	1	0.01	200	150	1000	0.7	33203.566024	True	200	182.81255247947914	85.78019571218096	85.78019571218096	163.67444017280795	159.00385981567763	11.803953105446334	1	150		
